000 A Sea Zone  (14126,656)  (14050,581)  (14128,804)  (13975,506)  (14075,506)  (13950,619)  (14028,847)  (14128,879)  (13900,431)  (14000,431)  (14100,431)  (13875,523)  (14028,922)  (13834,948)  (14128,954)  (13825,356)  (13925,356)  | overflowToLeft=false
010 A Sea Zone  (16057,3169)  (16131,3244)  (15981,3094)  (15957,3208)  (16081,3042)  (16206,3319)  (16106,3319)  (15906,3019)  (15881,3133)  (15857,3208)  (16006,2967)  (16281,3394)  (16181,3394)  (16081,3394)  (15831,2944)  (15806,3058)  | overflowToLeft=false
010 B Sea Zone  (15535,2252)  (15609,2327)  (15509,2327)  (15459,2177)  (15559,2177)  (15435,2252)  (15635,2252)  (15659,2128)  (15409,2377)  (15684,2402)  (15584,2402)  (15393,2102)  (15493,2102)  (15709,2327)  (15593,2053)  (15693,2053)  | overflowToLeft=false
011 Sea Zone  (16270,3971)  (16344,4046)  (16244,4046)  (16194,3896)  (16294,3896)  (16170,3971)  (16370,3971)  (16394,3847)  (16144,4096)  (16419,4121)  (16319,4121)  (16119,3821)  (16219,3821)  (16444,4046)  (16094,3896)  (16070,4021)  | overflowToLeft=false
012 Sea Zone  (15563,3472)  (15637,3547)  (15537,3547)  (15487,3397)  (15587,3397)  (15463,3472)  (15663,3472)  (15687,3348)  (15712,3622)  (15612,3622)  (15512,3622)  (15412,3322)  (15512,3322)  (15737,3547)  (15387,3397)  (15363,3486)  | overflowToLeft=false
013 Sea Zone  (14799,3251)  (14873,3326)  (14773,3326)  (14723,3176)  (14823,3176)  (14699,3251)  (14899,3251)  (14923,3127)  (14673,3376)  (14948,3401)  (14848,3401)  (14648,3101)  (14748,3101)  (14973,3326)  (14623,3176)  (14599,3301)  | overflowToLeft=false
014 Sea Zone  (14690,2626)  (14764,2701)  (14664,2701)  (14614,2551)  (14714,2551)  (14590,2626)  (14790,2626)  (14814,2502)  (14564,2751)  (14839,2776)  (14739,2776)  (14539,2476)  (14639,2476)  (14864,2701)  (14514,2551)  (14739,2427)  | overflowToLeft=false
015 Sea Zone  (14210,2794)  (14284,2869)  (14184,2869)  (14134,2719)  (14234,2719)  (14110,2794)  (14310,2794)  (14334,2670)  (14084,2919)  (14359,2944)  (14259,2944)  (14059,2644)  (14159,2644)  (14384,2869)  (14034,2719)  (14010,2844)  | overflowToLeft=false
016 A Sea Zone  (13714,2983)  (13788,3058)  (13688,3058)  (13638,2908)  (13738,2908)  (13614,2983)  (13814,2983)  (13838,2859)  (13588,3108)  (13863,3133)  (13763,3133)  (13563,2833)  (13663,2833)  (13538,2908)  (13763,2784)  (13863,2784)  | overflowToLeft=false
016 B Sea Zone  (13312,2969)  (13386,3044)  (13286,3044)  (13236,2894)  (13336,2894)  (13212,2969)  (13412,2969)  (13186,3094)  (13422,3119)  (13322,3119)  (13181,2819)  (13281,2819)  (13381,2819)  (13222,3169)  (13422,3194)  (13322,3194)  | overflowToLeft=false
017 A Sea Zone  (13155,3893)  (13229,3968)  (13129,3968)  (13079,3818)  (13179,3818)  (13055,3893)  (13255,3893)  (13279,3791)  (13029,4018)  | overflowToLeft=false
017 B Sea Zone  (12895,3562)  (12970,3487)  (12970,3637)  (12870,3637)  (12995,3562)  (12770,3687)  (13045,3412)  (13045,3712)  (13070,3487)  (13070,3637)  (13095,3562)  (12835,3762)  (12735,3762)  (13120,3337)  (13145,3412)  (13145,3712)  | overflowToLeft=false
018 Sea Zone  (12414,3876)  (12488,3951)  (12388,3951)  (12338,3801)  (12438,3801)  (12314,3876)  (12514,3876)  (12538,3752)  (12288,4001)  (12563,4026)  (12463,4026)  (12588,3951)  (12238,3801)  (12214,3926)  | overflowToLeft=false
019 A Sea Zone  (11775,3703)  (11849,3778)  (11749,3778)  (11699,3628)  (11675,3703)  (11649,3828)  (11924,3853)  (11824,3853)  (11624,3553)  (11949,3746)  (11599,3628)  (11575,3753)  (11549,3868)  (11549,3478)  (12024,3821)  (12024,3896)  | overflowToLeft=false
019 B Sea Zone  (11833,4033)  (11907,4108)  (11807,4108)  (11733,4033)  (11933,3979)  (11707,4114)  (12007,4054)  (12033,3979)  (11607,4114)  (11548,4039)  | overflowToLeft=false
020 Sea Zone  (10977,4207)  (10977,4282)  (10978,4357)  (11077,4139)  (11077,4214)  (11078,4289)  (11177,4102)  (11177,4177)  (11178,4252)  (11178,4327)  (11278,4346)  (11316,3978)  (11378,4279)  (11378,4354)  (11386,3902)  (11396,4195)  | overflowToLeft=false
021 A Sea Zone  (12397,4846)  (12471,4921)  (12371,4921)  (12321,4771)  (12297,4846)  (12497,4787)  (12271,4928)  (12537,4709)  (12571,4862)  (12221,4771)  (12197,4853)  (12597,4784)  | overflowToLeft=false
021 B Sea Zone  (12299,4378)  (12373,4453)  (12273,4453)  (12223,4303)  (12323,4303)  (12199,4378)  (12398,4528)  (12298,4528)  (12198,4528)  (12190,4228)  (12290,4228)  (12390,4228)  (12398,4603)  (12298,4603)  (12198,4603)  (12190,4153)  | overflowToLeft=false
022 A Sea Zone  (12870,4591)  (12944,4666)  (12844,4666)  (12794,4516)  (12894,4516)  (12770,4591)  (12970,4591)  (12994,4473)  (12744,4713)  (13044,4666)  (12694,4516)  (12670,4638)  (13070,4548)  (12594,4563)  (12594,4488)  | overflowToLeft=false
022 B Sea Zone  (12867,4212)  (12941,4287)  (12841,4287)  (12791,4137)  (12891,4137)  (12767,4212)  (12967,4212)  (12991,4107)  (12741,4337)  (13016,4362)  (12916,4362)  (13041,4287)  (12691,4137)  (12667,4262)  (13067,4182)  (12641,4398)  | overflowToLeft=false
023 Sea Zone  (13439,4277)  (13513,4352)  (13413,4352)  (13363,4202)  (13463,4202)  (13339,4277)  (13539,4277)  (13563,4153)  (13313,4402)  (13588,4427)  (13488,4427)  (13288,4127)  (13388,4127)  (13613,4352)  (13263,4202)  (13239,4327)  | overflowToLeft=false
024 Sea Zone  (13573,3637)  (13647,3712)  (13547,3712)  (13497,3562)  (13597,3562)  (13473,3637)  (13673,3637)  (13697,3513)  (13447,3762)  (13722,3787)  (13622,3787)  (13422,3487)  (13522,3487)  (13747,3712)  (13397,3562)  (13622,3438)  | overflowToLeft=false
025 A Sea Zone  (14124,3505)  (14198,3580)  (14098,3580)  (14048,3430)  (14148,3430)  (14024,3505)  (14224,3505)  (14248,3381)  (13998,3630)  (14273,3655)  (14173,3655)  (13973,3355)  (14073,3355)  (14298,3580)  (13948,3430)  (13924,3555)  | overflowToLeft=false
025 B Sea Zone  (14127,3979)  (14051,3904)  (14151,3904)  (14027,4032)  (14227,3979)  (14251,3855)  (13951,3957)  (13951,3882)  (13927,4032)  (14327,3930)  (14327,4005)  (14351,3836)  | overflowToLeft=false
026 A Sea Zone  (15250,3834)  (15324,3909)  (15224,3909)  (15174,3759)  (15274,3759)  (15150,3834)  (15350,3834)  (15374,3710)  (15124,3959)  (15395,3984)  (15295,3984)  (15099,3684)  (15199,3684)  (15074,3759)  (15050,3884)  (15299,3635)  | overflowToLeft=false
026 B Sea Zone  (14660,4180)  (14510,4120)  (14610,4120)  (14710,4120)  (14810,4120)  (14560,4180)  (14760,4180)  (14860,4180)  (14510,4240)  (14610,4240)  (14710,4240)  (14810,4240)  (14560,4300)  (14660,4300)  (14760,4300)  (14860,4300)  (14510,4360)  (14610,4360)  (14710,4360)  (14810,4360)  | overflowToLeft=false
027 Sea Zone  (15607,4505)  (15681,4580)  (15581,4580)  (15531,4430)  (15631,4430)  (15507,4505)  (15707,4505)  (15731,4381)  (15481,4630)  (15756,4655)  (15656,4655)  (15495,4355)  (15595,4355)  (15781,4580)  (15695,4306)  (15795,4306)  | overflowToLeft=false
028 Sea Zone  (16305,4873)  (16379,4948)  (16279,4948)  (16229,4798)  (16329,4798)  (16205,4873)  (16405,4873)  (16429,4749)  (16179,4998)  (16454,5023)  (16354,5023)  (16154,4723)  (16254,4723)  (16479,4948)  (16129,4798)  (16105,4923)  | overflowToLeft=false
029 Sea Zone  (15455,5180)  (15355,5120)  (15355,5180)  (15355,5240)  (15455,5120)  (15455,5240)  (15555,5120)  (15555,5180)  (15555,5240)  (15655,5120)  (15655,5180)  (15655,5240)  (15755,5120)  (15755,5180)  (15755,5240)  | overflowToLeft=false
030 A Sea Zone  (14774,4745)  (14848,4820)  (14748,4820)  (14698,4670)  (14798,4670)  (14674,4745)  (14874,4745)  (14898,4621)  (14923,4895)  (14823,4895)  (14723,4895)  (14623,4595)  (14723,4595)  (14948,4820)  (14598,4670)  (14974,4696)  | overflowToLeft=false
030 B Sea Zone  (14332,4970)  (14406,5045)  (14306,5045)  (14256,4895)  (14356,4895)  (14232,4970)  (14432,4970)  (14456,4846)  (14206,5095)  (14481,5120)  (14381,5120)  (14181,4820)  (14281,4820)  (14506,5045)  (14156,4895)  (14132,5020)  | overflowToLeft=false
031 A Sea Zone  (14066,4151)  (14140,4226)  (14040,4226)  (13966,4151)  (14166,4107)  (14240,4182)  (13866,4192)  (13866,4117)  (14266,4107)  (14340,4182)  (13766,4250)  (13766,4175)  (14366,4107)  | overflowToLeft=false
031 B Sea Zone  (14071,4402)  (14145,4477)  (14045,4477)  (13995,4327)  (14095,4327)  (13971,4402)  (14171,4402)  (14195,4326)  (13945,4485)  (14245,4477)  (13871,4410)  (14271,4401)  (14295,4326)  (13845,4485)  (14345,4476)  (13788,4335)  | overflowToLeft=false
032 A Sea Zone  (13689,5045)  (13763,5120)  (13663,5120)  (13636,4970)  (13736,4970)  (13589,5045)  (13789,5045)  (13563,5170)  (13836,4898)  (13838,5195)  (13738,5195)  (13667,4895)  (13863,5120)  (13489,5095)  (13889,4973)  (13767,4823)  | overflowToLeft=false
032 B Sea Zone  (13329,4651)  (13403,4726)  (13303,4726)  (13253,4576)  (13353,4576)  (13229,4651)  (13429,4651)  (13453,4560)  (13203,4743)  (13478,4801)  (13378,4801)  (13278,4818)  (13503,4726)  (13510,4876)  (13410,4876)  (13535,4951)  | overflowToLeft=false
033 A Sea Zone  (12995,4846)  (13093,4847)  (12997,4923)  (13094,4922)  (13192,4922)  (12996,5007)  (13094,5008)  (13196,5011)  (13294,5011)  (13146,5094)  (13244,5093)  (13338,5093)  (13202,5165)  (13298,5167)  | overflowToLeft=false
033 B Sea Zone  (12758,4809)  (12846,4810)  (12759,4893)  (12853,4895)  (12758,4975)  (12857,4978)  (12757,5061)  (12856,5061)  (12754,5140)  (12749,5318)  (12848,5317)  (12747,5376)  (12846,5376)  | overflowToLeft=false
034 A Sea Zone  (12353,5400)  (12427,5475)  (12327,5475)  (12277,5325)  (12377,5325)  (12253,5400)  (12453,5400)  (12477,5307)  (12227,5524)  (12202,5250)  (12527,5475)  (12553,5382)  (12577,5307)  (12190,5175)  (12627,5457)  (12190,5100)  | overflowToLeft=false
034 B Sea Zone  (12542,5055)  (12616,5130)  (12516,5130)  (12442,5055)  (12416,5180)  (12637,5205)  (12537,5205)  | overflowToLeft=false
035 A Sea Zone  (11925,4495)  (11775,4435)  (11875,4435)  (11975,4435)  (12075,4435)  (11825,4495)  (12025,4495)  (12125,4495)  (11775,4555)  (11875,4555)  (11975,4555)  (12075,4555)  (11825,4615)  (11925,4615)  (12025,4615)  (12125,4615)  (11775,4675)  (11875,4675)  (11975,4675)  (12075,4675)  | overflowToLeft=false
035 B Sea Zone  (11635,5059)  (11563,5058)  (11489,5058)  (11368,5132)  (11451,5132)  (11525,5133)  (11607,5137)  (11368,5216)  (11457,5218)  (11676,5226)  (11758,5230)  (11926,5239)  (12008,5241)  (11998,5157)  (11612,4984)  (11527,4987)  (11586,4912)  | overflowToLeft=false
036 A Sea Zone  (11025,4746)  (11099,4821)  (10999,4821)  (10978,4671)  (11078,4671)  (10925,4746)  (11125,4746)  (10899,4871)  (11174,4896)  (11074,4896)  (10977,4596)  (11077,4596)  (11177,4594)  (11178,4669)  (11199,4821)  (10825,4796)  | overflowToLeft=false
036 B Sea Zone  (10664,4328)  (10695,4403)  (10742,4248)  (10761,4478)  (10801,4553)  (10812,4628)  (10861,4427)  | overflowToLeft=false
037 Sea Zone  (10630,5163)  (10704,5238)  (10604,5238)  (10554,5088)  (10654,5088)  (10530,5163)  (10730,5163)  (10754,5039)  (10777,5313)  (10677,5313)  (10577,5313)  (10479,5013)  (10579,5013)  (10804,5238)  (10830,5114)  (10854,4989)  | overflowToLeft=false
038 A Sea Zone  (9795,4940)  (9695,4880)  (9795,4880)  (9895,4880)  (9695,4940)  (9895,4940)  (9695,5000)  (9795,5000)  (9895,5000)  (9695,5060)  (9795,5060)  (9895,5060)  (9695,5120)  (9795,5120)  (9895,5120)  | overflowToLeft=false
038 B Sea Zone  (9830,4467)  (9904,4542)  (9804,4542)  (9754,4392)  (9854,4392)  (9730,4467)  (9930,4467)  (9704,4592)  (9889,4617)  (9688,4317)  (9788,4317)  (9888,4317)  (10004,4542)  (10011,4617)  (9688,4242)  (9788,4242)  (10104,4539)  | overflowToLeft=false
039 A Sea Zone  (9272,5225)  (9346,5300)  (9246,5300)  (9196,5150)  (9296,5150)  (9172,5225)  (9372,5225)  (9396,5101)  (9146,5350)  (9421,5375)  (9321,5375)  (9121,5075)  (9221,5075)  (9446,5300)  (9096,5150)  (9072,5275)  (9362,5026)  | overflowToLeft=false
039 B Sea Zone  (9434,4601)  (9508,4676)  (9408,4676)  (9358,4526)  (9458,4526)  (9334,4601)  (9534,4601)  (9558,4477)  (9308,4726)  (9583,4751)  (9483,4751)  (9283,4451)  (9383,4451)  (9258,4526)  (9483,4402)  (9583,4402)  (9383,4801)  | overflowToLeft=false
040 Sea Zone  (9397,5798)  (9471,5873)  (9371,5873)  (9321,5723)  (9421,5723)  (9297,5798)  (9497,5798)  (9521,5674)  (9271,5923)  (9546,5948)  (9446,5948)  (9246,5648)  (9346,5648)  (9571,5873)  (9221,5723)  (9197,5848)  (9346,5998)  | overflowToLeft=false
041 A Sea Zone  (10428,6096)  (10353,6171)  (10328,6096)  (10318,6021)  (10574,5985)  (10281,5946)  (10253,6224)  (10580,5910)  (10228,6149)  (10218,6074)  (10210,5871)  (10181,5999)  (10597,5835)  (10153,6224)  (10135,5796)  (10603,5760)  | overflowToLeft=false
041 B Sea Zone  (9855,5657)  (9929,5732)  (9829,5732)  (9779,5582)  (9879,5582)  (9755,5657)  (9955,5657)  (9979,5533)  (9729,5782)  (10004,5807)  (9904,5807)  (9704,5507)  (9804,5507)  (10029,5732)  (9904,5458)  (10004,5458)  (9804,5857)  | overflowToLeft=false
041 C Sea Zone  (10123,6512)  (10197,6587)  (10097,6587)  (10135,6437)  (10023,6512)  (10223,6512)  (10235,6400)  (9997,6617)  (9979,6437)  (10133,6362)  (10297,6587)  (10233,6325)  (9923,6542)  (9897,6617)  (9879,6467)  (9823,6542)  | overflowToLeft=false
042 A Sea Zone  (11130,6460)  (10980,6400)  (11080,6400)  (11180,6400)  (11280,6400)  (11030,6460)  (11230,6460)  (11330,6460)  (10980,6520)  (11080,6520)  (11180,6520)  (11280,6520)  (11030,6580)  (11130,6580)  (11230,6580)  (11330,6580)  (10980,6640)  (11080,6640)  (11180,6640)  (11280,6640)  | overflowToLeft=false
042 B Sea Zone  (10560,6360)  (10410,6300)  (10510,6300)  (10610,6300)  (10710,6300)  (10460,6360)  (10660,6360)  (10760,6360)  (10410,6420)  (10510,6420)  (10610,6420)  (10710,6420)  (10460,6480)  (10560,6480)  (10660,6480)  (10760,6480)  (10410,6540)  (10510,6540)  (10610,6540)  (10710,6540)  | overflowToLeft=false
043 A Sea Zone  (10905,5360)  (10833,5435)  (10980,5285)  (11007,5210)  (11107,5140)  (11007,5135)  (11107,5065)  (11007,5060)  (11206,5215)  (11207,5040)  (11207,5115)  (11231,5423)  (11107,4990)  (10743,5785)  (10841,5860)  (10936,5935)  | overflowToLeft=false
043 B Sea Zone  (11210,5891)  (11246,5966)  (11146,5966)  (11166,5816)  (11110,5891)  (11188,5741)  (11046,6023)  (11239,5666)  | overflowToLeft=false
044 A Sea Zone  (11347,5876)  (11347,5995)  (11447,6000)  (11547,5955)  (11644,5774)  (11647,5921)  (11647,5996)  (11744,5774)  (11747,5849)  (11747,5924)  (11747,5999)  (11847,5855)  (11847,5930)  (11847,6005)  (11947,5884)  (11947,5959)  | overflowToLeft=false
044 B Sea Zone  (11480,5380)  (11380,5320)  (11380,5380)  (11380,5440)  (11480,5320)  (11480,5440)  (11580,5320)  (11580,5380)  (11580,5440)  (11680,5320)  (11680,5380)  (11680,5440)  (11780,5320)  (11780,5380)  (11780,5440)  | overflowToLeft=false
045 A Sea Zone  (12668,5611)  (12568,5648)  (12768,5599)  (12768,5674)  | overflowToLeft=false
045 B Sea Zone  (12230,5960)  (12080,5900)  (12180,5900)  (12280,5900)  (12380,5900)  (12130,5960)  (12330,5960)  (12430,5960)  (12080,6020)  (12180,6020)  (12280,6020)  (12380,6020)  (12130,6080)  (12230,6080)  (12330,6080)  (12430,6080)  (12080,6140)  (12180,6140)  (12280,6140)  (12380,6140)  | overflowToLeft=false
045 C Sea Zone  (12586,6186)  (12553,6111)  (12521,6036)  (12621,6036)  (12521,5961)  | overflowToLeft=false
046 A Sea Zone  (13110,5554)  (13184,5629)  (13084,5629)  (13034,5479)  (13134,5479)  (13010,5554)  (13210,5554)  (13234,5434)  (12984,5679)  (13259,5704)  (13159,5704)  (13284,5629)  (12934,5479)  (13059,5754)  (13310,5509)  (13312,5779)  (13212,5779)  (12834,5524)  (12834,5449)  (13312,5854)  | overflowToLeft=false
046 B Sea Zone  (13372,6329)  (13272,6351)  (13494,6201)  (13245,6276)  (13181,6201)  (13172,6351)  (13410,6126)  (13510,6126)  (13574,6350)  (13594,6201)  (13145,6276)  (13610,6095)  (13072,6351)  (13674,6276)  (13674,6351)  (13045,6276)  (12972,6351)  (12945,6276)  (12872,6351)  (12845,6276)  | overflowToLeft=false
047 Sea Zone  (13643,5535)  (13717,5610)  (13617,5610)  (13567,5460)  (13667,5460)  (13543,5535)  (13743,5535)  (13767,5411)  (13517,5660)  (13792,5685)  (13692,5685)  (13492,5385)  (13592,5385)  (13467,5460)  (13443,5585)  (13692,5336)  | overflowToLeft=false
048 Sea Zone  (14090,5640)  (13940,5580)  (14040,5580)  (14140,5580)  (14240,5580)  (13990,5640)  (14190,5640)  (14290,5640)  (13940,5700)  (14040,5700)  (14140,5700)  (14240,5700)  (13990,5760)  (14090,5760)  (14190,5760)  (14290,5760)  (13940,5820)  (14040,5820)  (14140,5820)  (14240,5820)  | overflowToLeft=false
049 Sea Zone  (14175,6010)  (14075,5950)  (14075,6010)  (14075,6070)  (14175,5950)  (14175,6070)  (14275,5950)  (14275,6010)  (14275,6070)  (14375,5950)  (14375,6010)  (14375,6070)  (14475,5950)  (14475,6010)  (14475,6070)  | overflowToLeft=false
050 Sea Zone  (15000,5930)  (14900,5870)  (14900,5930)  (14900,5990)  (15000,5870)  (15000,5990)  (15100,5870)  (15100,5930)  (15100,5990)  (15200,5870)  (15200,5930)  (15200,5990)  (15300,5870)  (15300,5930)  (15300,5990)  | overflowToLeft=false
051 Sea Zone  (16285,5730)  (16135,5670)  (16235,5670)  (16335,5670)  (16435,5670)  (16185,5730)  (16385,5730)  (16485,5730)  (16135,5790)  (16235,5790)  (16335,5790)  (16435,5790)  (16185,5850)  (16285,5850)  (16385,5850)  (16485,5850)  (16135,5910)  (16235,5910)  (16335,5910)  (16435,5910)  | overflowToLeft=false
052 Sea Zone  (16162,7350)  (16236,7425)  (16136,7425)  (16086,7275)  (16186,7275)  (16062,7350)  (16262,7350)  (16286,7226)  (16036,7475)  (16311,7500)  (16211,7500)  (16011,7200)  (16111,7200)  (16336,7425)  (15986,7275)  (15962,7400)  | overflowToLeft=false
053 Sea Zone  (14265,6605)  (14115,6545)  (14215,6545)  (14315,6545)  (14415,6545)  (14165,6605)  (14365,6605)  (14465,6605)  (14115,6665)  (14215,6665)  (14315,6665)  (14415,6665)  (14165,6725)  (14265,6725)  (14365,6725)  (14465,6725)  (14115,6785)  (14215,6785)  (14315,6785)  (14415,6785)  | overflowToLeft=false
054 Sea Zone  (13536,6695)  (13610,6770)  (13510,6770)  (13460,6620)  (13560,6620)  (13436,6695)  (13636,6695)  (13660,6571)  (13410,6820)  (13685,6845)  (13585,6845)  (13385,6545)  (13485,6545)  (13710,6770)  (13360,6620)  (13336,6745)  | overflowToLeft=false
055 Sea Zone  (12255,6394)  (12329,6469)  (12229,6469)  (12179,6319)  (12279,6319)  (12155,6394)  (12355,6394)  (12379,6309)  (12129,6519)  (12079,6319)  (12055,6444)  (12073,6594)  (12479,6309)  (11981,6669)  (11973,6594)  (12549,6384)  | overflowToLeft=false
056 Sea Zone  (11434,7211)  (11508,7286)  (11408,7286)  (11358,7136)  (11458,7136)  (11334,7211)  (11534,7211)  (11558,7087)  (11308,7336)  (11583,7361)  (11483,7361)  (11283,7061)  (11383,7061)  (11608,7286)  (11258,7136)  (11234,7261)  | overflowToLeft=false
057 Sea Zone  (10592,6995)  (10666,7070)  (10566,7070)  (10516,6920)  (10616,6920)  (10492,6995)  (10692,6995)  (10716,6871)  (10466,7120)  (10741,7145)  (10641,7145)  (10441,6845)  (10541,6845)  (10766,7070)  (10416,6920)  (10392,7045)  | overflowToLeft=false
058 Sea Zone  (9373,6944)  (9447,7019)  (9347,7019)  (9297,6869)  (9397,6869)  (9273,6944)  (9473,6944)  (9497,6820)  (9247,7069)  (9522,7094)  (9422,7094)  (9222,6794)  (9322,6794)  (9547,7019)  (9197,6869)  (9173,6994)  (9422,6745)  | overflowToLeft=false
059 Sea Zone  (9476,7592)  (9550,7667)  (9450,7667)  (9400,7517)  (9500,7517)  (9376,7592)  (9576,7592)  (9600,7468)  (9350,7717)  (9625,7742)  (9525,7742)  (9325,7442)  (9425,7442)  (9650,7667)  (9300,7517)  (9276,7642)  (9525,7393)  | overflowToLeft=false
060 Sea Zone  (10507,7582)  (10581,7657)  (10481,7657)  (10431,7507)  (10531,7507)  (10407,7582)  (10607,7582)  (10631,7458)  (10381,7707)  (10656,7732)  (10556,7732)  (10356,7432)  (10456,7432)  (10681,7657)  (10331,7507)  (10307,7632)  | overflowToLeft=false
061 Sea Zone  (12467,7655)  (12541,7730)  (12441,7730)  (12391,7580)  (12491,7580)  (12367,7655)  (12567,7655)  (12341,7780)  (12616,7805)  (12516,7805)  (12316,7505)  (12416,7505)  (12516,7505)  (12641,7730)  (12291,7580)  (12267,7705)  | overflowToLeft=false
